year,quarter,Unemployment Rate,Secular Trend of Unemployment Rate,u* (2.5th Pct),u* (16th Pct),u*,u* (84th Pctile),u* (97.5th Pct)
1960,1,5.1333,6.0512,4.5744,5.1801,5.8036,6.4197,7.0281
1960,2,5.2333,6.0308,4.5653,5.1466,5.7628,6.3796,6.9819
1960,3,5.5333,6.0957,4.6016,5.178,5.8013,6.4048,7.0222
1960,4,6.2667,6.0968,4.7721,5.341,5.954,6.5622,7.1605
1961,1,6.8,6.0777,4.8625,5.4289,6.0341,6.6582,7.2661
1961,2,7,6.0827,4.9191,5.4896,6.1067,6.7205,7.3172
1961,3,6.7667,6.036,4.8644,5.4469,6.0617,6.6683,7.2876
1961,4,6.2,6.0145,4.7283,5.3206,5.9287,6.5324,7.1436
1962,1,5.6333,5.9384,4.5707,5.1771,5.7919,6.3832,6.9993
1962,2,5.5333,5.9442,4.6277,5.2373,5.8524,6.4375,7.0638
1962,3,5.5667,5.874,4.6484,5.2601,5.8654,6.4464,7.0652
1962,4,5.5333,5.9206,4.6441,5.2371,5.8363,6.4294,7.0693
1963,1,5.7667,5.8991,4.7551,5.3476,5.94,6.5405,7.1898
1963,2,5.7333,5.8568,4.6959,5.2994,5.9024,6.4945,7.1459
1963,3,5.5,5.8108,4.6075,5.1928,5.7887,6.3987,7.0351
1963,4,5.5667,5.8194,4.7017,5.2769,5.8686,6.4814,7.1086
1964,1,5.4667,5.8269,4.7035,5.2679,5.8702,6.4767,7.1138
1964,2,5.2,5.7656,4.6566,5.2012,5.789,6.3984,7.0532
1964,3,5,5.7566,4.6369,5.1928,5.7909,6.3979,7.0502
1964,4,4.9667,5.7497,4.6174,5.2034,5.7913,6.4215,7.0832
1965,1,4.9,5.7432,4.6503,5.2307,5.8174,6.4413,7.1191
1965,2,4.6667,5.7321,4.6016,5.1848,5.7763,6.4013,7.0603
1965,3,4.3667,5.7704,4.5844,5.1525,5.7498,6.3569,7.0156
1965,4,4.1,5.718,4.5633,5.1232,5.7076,6.3234,6.9937
1966,1,3.8667,5.7344,4.5329,5.0904,5.6714,6.2957,6.973
1966,2,3.8333,5.6519,4.537,5.0756,5.6588,6.2868,6.9652
1966,3,3.7667,5.7048,4.5712,5.1136,5.7017,6.327,6.979
1966,4,3.7,5.7141,4.5508,5.1077,5.7026,6.3142,6.9719
1967,1,3.8333,5.7007,4.6109,5.1679,5.7646,6.3883,7.0544
1967,2,3.8333,5.7132,4.5931,5.1735,5.7619,6.3894,7.0372
1967,3,3.8,5.6285,4.5895,5.1475,5.7366,6.3664,7.031
1967,4,3.9,5.6567,4.6596,5.2085,5.8081,6.4323,7.0947
1968,1,3.7333,5.6718,4.6544,5.2086,5.7919,6.4147,7.0853
1968,2,3.5667,5.5826,4.6132,5.1494,5.7427,6.3591,7.0125
1968,3,3.5333,5.5881,4.6806,5.2228,5.8117,6.4336,7.084
1968,4,3.4,5.5989,4.7029,5.2274,5.8045,6.4279,7.0526
1969,1,3.4,5.655,4.7614,5.2918,5.874,6.4792,7.1268
1969,2,3.4333,5.6455,4.7992,5.3123,5.8987,6.4955,7.1271
1969,3,3.5667,5.7169,4.8714,5.4066,6.0004,6.6001,7.2344
1969,4,3.5667,5.7624,4.8416,5.4045,5.9855,6.5751,7.2374
1970,1,4.1667,5.8378,5.0639,5.5938,6.1863,6.7861,7.463
1970,2,4.7667,5.9292,5.2217,5.7741,6.3639,6.9633,7.644
1970,3,5.1667,5.9738,5.2795,5.832,6.4278,7.0345,7.7074
1970,4,5.8333,6.026,5.4955,6.0527,6.6448,7.2688,7.9248
1971,1,5.9333,6.0639,5.5472,6.0912,6.683,7.3152,7.9455
1971,2,5.9,6.0975,5.5696,6.0989,6.676,7.3127,7.9343
1971,3,6.0333,6.1346,5.686,6.214,6.8049,7.4167,8.0403
1971,4,5.9333,6.1533,5.6564,6.2067,6.7899,7.409,7.9927
1972,1,5.7667,6.1493,5.7034,6.2411,6.8246,7.4531,8.0254
1972,2,5.7,6.2115,5.7816,6.3199,6.8876,7.5013,8.0949
1972,3,5.5667,6.2047,5.7927,6.3319,6.8905,7.5027,8.1077
1972,4,5.3667,6.2161,5.8064,6.362,6.932,7.5348,8.123
1973,1,4.9333,6.2765,5.7645,6.3179,6.8788,7.4782,8.067
1973,2,4.9333,6.2455,5.8651,6.4108,6.9724,7.5733,8.1697
1973,3,4.8,6.2724,5.9031,6.4302,7.0005,7.5946,8.1895
1973,4,4.7667,6.3427,5.9713,6.4873,7.0572,7.6505,8.2368
1974,1,5.1333,6.3689,6.1364,6.6477,7.2433,7.8578,8.4691
1974,2,5.2,6.4018,6.1407,6.6699,7.2684,7.8813,8.4957
1974,3,5.6333,6.4123,6.2313,6.7586,7.3722,7.9905,8.6035
1974,4,6.6,6.58,6.4466,6.9799,7.6183,8.266,8.8926
1975,1,8.2667,6.7084,6.862,7.4333,8.1286,8.8291,9.5154
1975,2,8.8667,6.7699,6.9724,7.5553,8.2585,8.9607,9.6435
1975,3,8.4667,6.7762,6.8349,7.3994,8.066,8.7208,9.3843
1975,4,8.3,6.7964,6.8854,7.4667,8.121,8.7568,9.3938
1976,1,7.7333,6.778,6.7462,7.3168,7.9332,8.5306,9.1178
1976,2,7.5667,6.8337,6.7709,7.3198,7.9108,8.5029,9.0683
1976,3,7.7333,6.9204,6.8622,7.4304,8.0175,8.5992,9.1833
1976,4,7.7667,6.9079,6.894,7.4517,8.0255,8.5921,9.175
1977,1,7.5,6.9187,6.8316,7.3691,7.9298,8.4745,9.0346
1977,2,7.1333,6.9054,6.762,7.2855,7.8196,8.3606,8.8698
1977,3,6.9,6.8794,6.7306,7.2268,7.7409,8.279,8.7595
1977,4,6.6667,6.9301,6.7106,7.1847,7.6928,8.2181,8.6836
1978,1,6.3333,6.8789,6.5904,7.0643,7.5666,8.0733,8.537
1978,2,6,6.8476,6.478,6.9243,7.4063,7.902,8.3431
1978,3,6.0333,6.8086,6.4764,6.9254,7.413,7.9071,8.353
1978,4,5.9,6.8824,6.4375,6.8823,7.3578,7.8477,8.2788
1979,1,5.8667,6.8814,6.4263,6.8721,7.3543,7.8377,8.2745
1979,2,5.7,6.8374,6.3166,6.7466,7.2089,7.6869,8.1415
1979,3,5.8667,6.8379,6.3745,6.7947,7.2577,7.7323,8.1932
1979,4,5.9667,6.8591,6.3435,6.7599,7.2125,7.6799,8.152
1980,1,6.3,6.951,6.3683,6.7873,7.2443,7.719,8.1788
1980,2,7.3333,7.0638,6.6613,7.1059,7.5896,8.0737,8.5694
1980,3,7.6667,7.1501,6.6588,7.0937,7.5758,8.0522,8.5582
1980,4,7.4,7.0835,6.5076,6.9456,7.4119,7.8787,8.3545
1981,1,7.4333,7.0929,6.4798,6.901,7.3634,7.8273,8.2995
1981,2,7.4,7.0546,6.3681,6.8019,7.2571,7.7161,8.1686
1981,3,7.4,7.1322,6.2242,6.6565,7.0945,7.5604,7.9792
1981,4,8.2333,7.1595,6.381,6.802,7.2481,7.7128,8.1411
1982,1,8.8333,7.2034,6.3892,6.8059,7.2489,7.7028,8.1323
1982,2,9.4333,7.2427,6.3673,6.8105,7.2442,7.7087,8.1317
1982,3,9.9,7.2885,6.3203,6.772,7.2073,7.6651,8.1078
1982,4,10.6667,7.2618,6.4624,6.9052,7.3652,7.825,8.2868
1983,1,10.3667,7.2591,6.2532,6.6844,7.1151,7.552,7.9972
1983,2,10.1333,7.2215,6.2004,6.627,7.0632,7.4771,7.9181
1983,3,9.3667,7.2011,5.963,6.3854,6.7948,7.2011,7.6096
1983,4,8.5333,7.1315,5.7414,6.1587,6.5709,6.948,7.3608
1984,1,7.8667,7.1248,5.5495,5.955,6.3692,6.7439,7.1205
1984,2,7.4333,7.0739,5.376,5.7933,6.2055,6.5762,6.9717
1984,3,7.4333,7.0069,5.3269,5.7747,6.1688,6.5482,6.9294
1984,4,7.3,6.9587,5.1854,5.6302,6.0257,6.4167,6.7812
1985,1,7.2333,6.8726,5.0695,5.5083,5.9056,6.2866,6.6546
1985,2,7.3,6.8429,5.067,5.4799,5.8731,6.2562,6.638
1985,3,7.2,6.7569,4.9528,5.3562,5.7566,6.1346,6.5062
1985,4,7.0333,6.6576,4.7868,5.1817,5.5772,5.9597,6.3556
1986,1,7.0333,6.6593,4.7452,5.1393,5.5258,5.9034,6.2853
1986,2,7.1667,6.596,4.7029,5.1138,5.505,5.8852,6.2447
1986,3,6.9667,6.5413,4.6237,5.0076,5.4044,5.786,6.1345
1986,4,6.8333,6.5021,4.6079,4.9909,5.3779,5.7572,6.1116
1987,1,6.6,6.408,4.5244,4.9205,5.2973,5.6783,6.0302
1987,2,6.2667,6.3578,4.4459,4.8476,5.2313,5.599,5.9637
1987,3,6,6.3138,4.4172,4.8079,5.203,5.568,5.9169
1987,4,5.8333,6.2518,4.4038,4.8073,5.1938,5.5497,5.892
1988,1,5.7,6.1632,4.4034,4.7812,5.1628,5.5251,5.8564
1988,2,5.4667,6.1361,4.3806,4.749,5.1314,5.4925,5.8217
1988,3,5.4667,6.0889,4.4529,4.8051,5.1793,5.5453,5.8757
1988,4,5.3333,6.0895,4.4269,4.8031,5.1728,5.5339,5.8715
1989,1,5.2,6.0238,4.3805,4.7582,5.1192,5.4809,5.8167
1989,2,5.2333,5.9439,4.3815,4.7618,5.1305,5.4877,5.8173
1989,3,5.2333,5.9049,4.3349,4.7245,5.1027,5.4574,5.785
1989,4,5.3667,5.9021,4.4118,4.7894,5.1633,5.5165,5.8409
1990,1,5.3,5.9875,4.4299,4.8126,5.1805,5.538,5.8703
1990,2,5.3333,6.0043,4.4034,4.7779,5.1513,5.5038,5.8359
1990,3,5.7,6.0006,4.4974,4.864,5.2324,5.5922,5.9299
1990,4,6.1333,6.043,4.5396,4.9275,5.2977,5.665,6.0185
1991,1,6.6,6.004,4.5827,4.9735,5.3545,5.7198,6.0637
1991,2,6.8333,6.0402,4.6006,4.985,5.366,5.7336,6.0837
1991,3,6.8667,5.9991,4.5275,4.9157,5.2943,5.6544,5.9995
1991,4,7.1,5.9789,4.5523,4.9358,5.3134,5.6781,6.0179
1992,1,7.3667,6.0306,4.6363,4.9976,5.3814,5.7536,6.1029
1992,2,7.6,6.0399,4.6904,5.0556,5.4383,5.8122,6.1762
1992,3,7.6333,6.019,4.6877,5.0438,5.4329,5.8062,6.1741
1992,4,7.3667,6.0624,4.5955,4.9588,5.3403,5.7052,6.0665
1993,1,7.1333,6.0353,4.5068,4.8693,5.2512,5.6151,5.9872
1993,2,7.0667,6.0611,4.5521,4.9145,5.2932,5.6552,6.0283
1993,3,6.8,6.1743,4.5275,4.8982,5.2757,5.6414,5.9882
1993,4,6.6333,6.1714,4.5154,4.8862,5.2635,5.6161,5.936
1994,1,6.5667,6.1622,4.5565,4.9209,5.2964,5.6449,5.9642
1994,2,6.2,6.164,4.4635,4.8147,5.1816,5.5285,5.8417
1994,3,6,6.2596,4.4948,4.8639,5.2314,5.5776,5.9001
1994,4,5.6333,6.2679,4.4414,4.8099,5.181,5.5233,5.8551
1995,1,5.4667,6.2692,4.4303,4.7668,5.1375,5.4918,5.8192
1995,2,5.6667,6.2514,4.5325,4.8865,5.2376,5.5849,5.9059
1995,3,5.6667,6.1868,4.4917,4.8471,5.1952,5.5491,5.8729
1995,4,5.5667,6.2539,4.4589,4.8136,5.1673,5.5209,5.851
1996,1,5.5333,6.2321,4.4544,4.8021,5.1494,5.5061,5.8265
1996,2,5.5,6.2591,4.4834,4.8195,5.1666,5.5162,5.8614
1996,3,5.2667,6.256,4.4114,4.7476,5.0975,5.4543,5.7991
1996,4,5.3333,6.276,4.4813,4.8109,5.174,5.5217,5.8579
1997,1,5.2333,6.2873,4.4792,4.8065,5.1774,5.5154,5.8805
1997,2,5,6.2773,4.4114,4.7578,5.1188,5.4753,5.8633
1997,3,4.8667,6.2834,4.3879,4.7518,5.1059,5.4596,5.8518
1997,4,4.6667,6.289,4.2996,4.6643,5.0296,5.3955,5.7856
1998,1,4.6333,6.2502,4.279,4.6251,5.0036,5.3785,5.7518
1998,2,4.4,6.2144,4.1453,4.5084,4.8848,5.2754,5.6505
1998,3,4.5333,6.1653,4.2208,4.5743,4.9488,5.3254,5.7049
1998,4,4.4333,6.2234,4.2114,4.5662,4.9426,5.3257,5.7081
1999,1,4.3,6.1745,4.1402,4.5019,4.8902,5.2658,5.6557
1999,2,4.2667,6.1277,4.1409,4.5063,4.8842,5.2631,5.6632
1999,3,4.2333,6.0758,4.1607,4.5315,4.8934,5.2709,5.6593
1999,4,4.0667,6.025,4.1029,4.483,4.8402,5.215,5.5905
2000,1,4.0333,6.018,4.1377,4.4991,4.8726,5.2388,5.6049
2000,2,3.9333,6.0001,4.1237,4.4878,4.8613,5.2211,5.5919
2000,3,4,6.0609,4.2257,4.5986,4.9623,5.3359,5.6932
2000,4,3.9,6.0095,4.1836,4.5461,4.9091,5.2704,5.6356
2001,1,4.2333,5.9805,4.321,4.6551,5.0047,5.3666,5.7392
2001,2,4.4,5.9121,4.3085,4.6479,4.9913,5.3446,5.7219
2001,3,4.8333,5.9446,4.4398,4.7697,5.1029,5.4546,5.7932
2001,4,5.5,5.9377,4.6289,4.9642,5.3042,5.6537,5.9863
2002,1,5.7,5.9151,4.5967,4.9458,5.2825,5.6299,5.9542
2002,2,5.8333,5.9246,4.6639,4.9989,5.3347,5.6772,6.0149
2002,3,5.7333,5.8949,4.5394,4.8922,5.2195,5.5607,5.8873
2002,4,5.8667,5.8906,4.5571,4.9193,5.2381,5.5784,5.903
2003,1,5.8667,5.8712,4.5645,4.9218,5.2489,5.5963,5.9233
2003,2,6.1333,5.8483,4.6442,4.9863,5.3199,5.6667,5.9973
2003,3,6.1333,5.8557,4.6432,5.0083,5.3503,5.6898,6.025
2003,4,5.8333,5.8609,4.5558,4.8924,5.2349,5.563,5.8832
2004,1,5.7,5.8593,4.5164,4.8608,5.1919,5.5364,5.8442
2004,2,5.6,5.8254,4.533,4.8693,5.1985,5.5325,5.8506
2004,3,5.4333,5.8093,4.4772,4.8117,5.1421,5.4774,5.797
2004,4,5.4333,5.7905,4.4762,4.7899,5.1219,5.4444,5.7782
2005,1,5.3,5.7256,4.3953,4.7179,5.0479,5.3722,5.7023
2005,2,5.1,5.7141,4.3176,4.6245,4.9574,5.2832,5.6296
2005,3,4.9667,5.7506,4.2994,4.6272,4.9549,5.2771,5.6222
2005,4,4.9667,5.7205,4.3677,4.6682,4.9996,5.3304,5.6694
2006,1,4.7333,5.688,4.3015,4.6107,4.9368,5.264,5.5762
2006,2,4.6333,5.6912,4.3597,4.6544,4.9761,5.304,5.6063
2006,3,4.6333,5.6295,4.4429,4.7415,5.0503,5.3602,5.6737
2006,4,4.4333,5.5995,4.4101,4.7252,5.0458,5.3483,5.6335
2007,1,4.5,5.6417,4.5618,4.8687,5.1852,5.4888,5.7858
2007,2,4.5,5.5917,4.548,4.8791,5.1956,5.5043,5.787
2007,3,4.6667,5.5325,4.5904,4.9086,5.2321,5.537,5.8203
2007,4,4.8,5.5208,4.5913,4.9167,5.2392,5.5616,5.8607
2008,1,5,5.4919,4.6056,4.9459,5.2691,5.5997,5.9073
2008,2,5.3333,5.4481,4.611,4.9777,5.3191,5.6584,5.9695
2008,3,6,5.4625,4.6855,5.0837,5.4551,5.8158,6.1359
2008,4,6.8667,5.4769,4.6809,5.093,5.4757,5.86,6.2078
2009,1,8.2667,5.4937,4.8103,5.2439,5.6728,6.1065,6.5019
2009,2,9.3,5.4517,4.8204,5.2904,5.7588,6.226,6.6885
2009,3,9.6333,5.3936,4.6914,5.1749,5.6544,6.1383,6.6221
2009,4,9.9333,5.3559,4.6872,5.1786,5.6747,6.1871,6.7168
2010,1,9.8333,5.3356,4.5932,5.097,5.6008,6.1182,6.637
2010,2,9.6333,5.3101,4.4915,4.9952,5.4937,6.0134,6.5218
2010,3,9.4667,5.3091,4.4273,4.9271,5.4239,5.9247,6.4634
2010,4,9.5,5.2775,4.448,4.951,5.4639,5.9723,6.5277
2011,1,9.0333,5.2549,4.2582,4.7546,5.2538,5.7552,6.2652
2011,2,9.0667,5.2572,4.267,4.793,5.2895,5.794,6.3238
2011,3,9,5.2207,4.2352,4.7364,5.241,5.739,6.2517
2011,4,8.6333,5.1865,4.088,4.5752,5.0659,5.5515,6.0385
2012,1,8.2667,5.1511,3.9699,4.438,4.9131,5.377,5.8659
2012,2,8.2,5.1244,3.9589,4.4272,4.8935,5.341,5.8341
2012,3,8.0333,5.0946,3.8708,4.3245,4.7823,5.2212,5.683
2012,4,7.8,5.0478,3.7391,4.1943,4.6401,5.0674,5.5119
2013,1,7.7333,5.004,3.7393,4.1839,4.6317,5.055,5.4842
2013,2,7.5333,4.9724,3.692,4.1185,4.5469,4.964,5.3813
2013,3,7.2333,4.947,3.5717,3.9906,4.4026,4.802,5.2125
2013,4,6.9333,4.9484,3.4738,3.9039,4.298,4.6907,5.0785
2014,1,6.6667,4.8922,3.3877,3.8186,4.1974,4.5879,4.9858
2014,2,6.2333,4.8959,3.276,3.6977,4.068,4.4481,4.804
2014,3,6.1,4.8366,3.2958,3.696,4.0724,4.4471,4.7816
2014,4,5.7,4.8307,3.1375,3.5344,3.8922,4.2568,4.5581
2015,1,5.5667,4.8264,3.154,3.5407,3.8942,4.2506,4.5547
2015,2,5.4,4.776,3.0739,3.4537,3.8024,4.1431,4.443
2015,3,5.1,4.7723,2.9628,3.3268,3.6745,4.0158,4.3195
2015,4,5,4.7537,2.9842,3.3388,3.6819,4.0187,4.3152
2016,1,4.9333,4.7492,3.0225,3.3658,3.7191,4.0446,4.3317
2016,2,4.8667,4.7054,3.0268,3.3687,3.7084,4.0395,4.3309
2016,3,4.9333,4.6809,3.0891,3.4355,3.7701,4.0965,4.383
2016,4,4.7333,4.6728,3.0399,3.3744,3.7168,4.0407,4.319
2017,1,4.6667,4.6503,3.0892,3.4404,3.7772,4.1036,4.388
2017,2,4.3333,4.6456,3.0011,3.349,3.6887,4.0062,4.2918
2017,3,4.3,4.5882,3.0842,3.4382,3.7729,4.0968,4.3782
2017,4,4.1,4.5502,3.002,3.3599,3.7057,4.0222,4.3141
2018,1,4.1,4.5101,3.1257,3.463,3.8234,4.1437,4.4459
2018,2,3.9,4.4971,3.0861,3.4373,3.7982,4.1285,4.4273
2018,3,3.8333,4.4751,3.1092,3.4797,3.8464,4.1791,4.4869